# Every West and Central Asia city row: the bank figure (Wikidata P1082 as the probe took it) vs the enwiki infobox population_total (live, 2026-09-19)
# name | country | bank size | article figure (as of) | ratio | article type | views | wikiTitle

Baghlan | Afghanistan | 83490 | 219073 (2025) | 0.38 |  | 609 | Baghlan
Balkh | Afghanistan | 77000 | 148972 (2025) | 0.52 | City | 8767 | Balkh
Sar-e Pol | Afghanistan | 51075 | 134809 (2025) | 0.38 | Provincial capital | 244 | Sar-e-Pol, Afghanistan
Tarinkot | Afghanistan | 70000 | 127095 (2025) | 0.55 | Provincial capital | 609 | Tarinkot
Hrazdan | Armenia | 52283 | 44231 (2022 census) | 1.18 | Town | 791 | Hrazdan
Khirdalan | Azerbaijan | 100900 | 195673 (2024) | 0.52 | City & Municipality | 183 | Khirdalan
Shirvan | Azerbaijan | 83500 | 87400 () | 0.96 | City | 426 | Şirvan, Azerbaijan
Yevlakh | Azerbaijan | 60000 | 71962 () | 0.83 | City | 457 | Yevlakh
A'ali | Bahrain | 100533 | 100533 (| population_density) | 1.00 | Town | 335 | A'ali
Isa Town | Bahrain | 61293 | no figure |  | Town | 517 | Isa Town
North Nicosia | Cyprus | 61378 | 61378 (2011) | 1.00 | Capital city | 4870 | North Nicosia
Strovolos | Cyprus | 67904 | 71123 (2021) | 0.95 | Municipality | 944 | Strovolos
Sukhumi | Georgia | 65146 | 65146 (2022 estimate) | 1.00 | City | 9954 | Sukhumi
Abadeh | Iran | 59116 | 59116 (2016) | 1.00 | City | 213 | Abadeh
Abhar | Iran | 99285 | 99285 (2016) | 1.00 | City | 304 | Abhar
Abyek | Iran | 60107 | 60107 (2016) | 1.00 | City | 91 | Abyek
Ahar | Iran | 100641 | 100641 (2016) | 1.00 | City | 274 | Ahar
Aliabad-e Katul | Iran | 52838 | 52838 (2016) | 1.00 | City | 152 | Aliabad-e Katul
Aligudarz | Iran | 89268 | 89268 (2016) | 1.00 | City | 183 | Aligudarz
Amol | Iran | 237528 | 237528 (2016 census) | 1.00 | City | 1522 | Amol
Andimeshk | Iran | 240113 | 135116 (2016) | 1.78 | City | 304 | Andimeshk
Andisheh | Iran | 116062 | 116062 (2016) | 1.00 | City | 183 | Andisheh
Aran and Bidgol | Iran | 65404 | 65404 (2016) | 1.00 | City | 91 | Aran and Bidgol
Ardakan | Iran | 75271 | 75271 (2016) | 1.00 | City | 396 | Ardakan
Asadabad | Iran | 55703 | 55703 (2016) | 1.00 | City | 304 | Asadabad, Iran
Astara | Iran | 51579 | 51579 (2016) | 1.00 | City | 974 | Astara, Iran
Babol | Iran | 250217 | 250217 (2016) | 1.00 | City | 1035 | Babol
Babolsar | Iran | 59966 | 59966 (2016) | 1.00 | City | 396 | Babolsar
Baharestan | Iran | 79023 | 79023 (2016) | 1.00 | City | 91 | Baharestan, Isfahan
Bandar Ganaveh | Iran | 73472 | 73472 (2016) | 1.00 | City | 335 | Bandar Ganaveh
Bandar Kangan | Iran | 60187 | 60187 (2016) | 1.00 | City | 152 | Bandar Kangan
Bandar Torkaman | Iran | 53970 | 53970 (2016) | 1.00 | City | 365 | Bandar Torkaman
Bandar-e Anzali | Iran | 118564 | 118564 (2016) | 1.00 | City | 2192 | Bandar-e Anzali
Bandar-e Emam Khomeini | Iran | 78353 | 78353 (2016) | 1.00 | City | 335 | Bandar-e Emam Khomeini
Bandar-e Mahshahr | Iran | 162797 | 162797 (2016) | 1.00 | City | 609 | Bandar-e Mahshahr
Baneh | Iran | 110218 | 110218 (2016) | 1.00 | City | 457 | Baneh
Behbahan | Iran | 122604 | 122604 (2016) | 1.00 | City | 974 | Behbahan
Behshahr | Iran | 94702 | 94702 (2016) | 1.00 | City | 335 | Behshahr
Bijar | Iran | 50014 | 50014 (2016) | 1.00 | City | 396 | Bijar (city)
Birjand | Iran | 203636 | 203636 (2016) | 1.00 | City | 761 | Birjand
Bojnord | Iran | 228931 | no figure |  | City | 761 | Bojnord
Bonab | Iran | 85274 | 85274 (2016) | 1.00 | City | 244 | Bonab
Borazjan | Iran | 110567 | 110567 (2016) | 1.00 | City | 274 | Borazjan
Borujen | Iran | 57071 | 57071 (2016) | 1.00 | City | 183 | Borujen
Borujerd | Iran | 234997 | 234497 (2016) | 1.00 | City | 700 | Borujerd
Bukan | Iran | 193501 | 193501 (2016) | 1.00 | City | 578 | Bukan
